,data_representations,K1,B,factors,regularization,iterations,alpha,precision_at_k,map_at_k,ndcg_at_k,number_of_skills
0,Raw,,,1,0.005,15,1,0.4590705522819779,0.3570348246177667,0.44463544945116507,735
1,Raw,,,1,0.005,15,2,0.46505200024025095,0.3613456360892197,0.450146921602289,735
2,Raw,,,1,0.005,30,1,0.4590705522819779,0.3570348246177667,0.44463544945116507,735
3,Raw,,,1,0.005,30,2,0.46505200024025095,0.3613456360892197,0.450146921602289,735
4,Raw,,,1,0.005,45,1,0.4590705522819779,0.3570348246177667,0.44463544945116507,735
5,Raw,,,1,0.005,45,2,0.46505200024025095,0.3613456360892197,0.450146921602289,735
6,Raw,,,1,0.01,15,1,0.4590705522819779,0.3570348246177667,0.44463544945116507,735
7,Raw,,,1,0.01,15,2,0.46505200024025095,0.3613456360892197,0.450146921602289,735
8,Raw,,,1,0.01,30,1,0.4590705522819779,0.3570348246177667,0.44463544945116507,735
9,Raw,,,1,0.01,30,2,0.46505200024025095,0.3613456360892197,0.450146921602289,735
10,Raw,,,1,0.01,45,1,0.4590705522819779,0.3570348246177667,0.44463544945116507,735
11,Raw,,,1,0.01,45,2,0.46505200024025095,0.3613456360892197,0.450146921602289,735
12,Raw,,,1,0.02,15,1,0.4590705522819779,0.3570348246177667,0.44463544945116507,735
13,Raw,,,1,0.02,15,2,0.46505200024025095,0.3613456360892197,0.450146921602289,735
14,Raw,,,1,0.02,30,1,0.4590705522819779,0.3570348246177667,0.44463544945116507,735
15,Raw,,,1,0.02,30,2,0.46505200024025095,0.3613456360892197,0.450146921602289,735
16,Raw,,,1,0.02,45,1,0.4590705522819779,0.3570348246177667,0.44463544945116507,735
17,Raw,,,1,0.02,45,2,0.46505200024025095,0.3613456360892197,0.450146921602289,735
18,Raw,,,1,0.03,15,1,0.4590705522819779,0.3570348246177667,0.44463544945116507,735
19,Raw,,,1,0.03,15,2,0.46505200024025095,0.3613456360892197,0.450146921602289,735
20,Raw,,,1,0.03,30,1,0.4590705522819779,0.3570348246177667,0.44463544945116507,735
