,data_representations,K1,B,factors,regularization,iterations,alpha,precision_at_k,map_at_k,ndcg_at_k
0,Raw,,,3,0.005,10,1,0.2966446367721617,0.19943403513520078,0.2846370175348046
1,Raw,,,3,0.005,15,1,0.31707473570413197,0.21448953281710875,0.3037389692031356
2,Raw,,,3,0.005,30,1,0.3103588023273288,0.20915527353657218,0.29775174881854294
3,Raw,,,3,0.01,10,1,0.3011230248307751,0.20538271037488015,0.2913938052660613
4,Raw,,,3,0.01,15,1,0.31885115679940407,0.2135273612936784,0.30398758254634345
5,Raw,,,3,0.01,30,1,0.31165306933407233,0.21289878873264545,0.30044582518653706
6,Raw,,,3,0.02,10,1,0.3019819365136486,0.20749542445329813,0.29315102634570617
7,Raw,,,3,0.02,15,1,0.3221172173880314,0.21717067042688667,0.306578030640456
8,Raw,,,3,0.02,30,1,0.3201140074856189,0.22012794212317477,0.3085695241761169
9,Raw,,,6,0.005,10,1,0.30053711653829135,0.19689701730076994,0.28633539881420134
10,Raw,,,6,0.005,15,1,0.3024938330446671,0.199159667432997,0.29091365369618394
11,Raw,,,6,0.005,30,1,0.28891577053023015,0.1864605268926433,0.275216381247669
12,Raw,,,6,0.01,10,1,0.2992879843570947,0.19321300282180573,0.2840923882573695
13,Raw,,,6,0.01,15,1,0.29435996349956767,0.19255924072160496,0.28258325246373955
14,Raw,,,6,0.01,30,1,0.30148996527940336,0.19418078148932932,0.2847261319995872
15,Raw,,,6,0.02,10,1,0.3011468962767836,0.1964420427064852,0.2855884491656256
16,Raw,,,6,0.02,15,1,0.30497488627370944,0.19879435304476561,0.2907023037494247
17,Raw,,,6,0.02,30,1,0.30226841426566897,0.19851934652819545,0.2893366523870945
18,Raw,,,7,0.005,10,1,0.2895313231047133,0.18310108688497662,0.27336343992956025
19,Raw,,,7,0.005,15,1,0.29441051100476645,0.18847227286315774,0.27910936551605997
20,Raw,,,7,0.005,30,1,0.293003545462268,0.19116558625166444,0.28075452798696365
21,Raw,,,7,0.01,10,1,0.29893960892461713,0.19596700231094197,0.28563311621708404
22,Raw,,,7,0.01,15,1,0.2925179837572326,0.18972225150525207,0.27979852936058786
23,Raw,,,7,0.01,30,1,0.2999495292823141,0.19216932321636535,0.28493010449807377
24,Raw,,,7,0.02,10,1,0.2937732412903526,0.1914888814199154,0.28296284219833673
25,Raw,,,7,0.02,15,1,0.3046259220217787,0.1980692855342375,0.2906371809074731
26,Raw,,,7,0.02,30,1,0.29795219966193176,0.19091497276356878,0.28194707153602894
27,Raw,,,8,0.005,10,1,0.2803105398965105,0.17881952747949775,0.2690307523761889
28,Raw,,,8,0.005,15,1,0.29542238420095535,0.19017457921507713,0.28165608348274046
29,Raw,,,8,0.005,30,1,0.28325491953348486,0.17850090865797036,0.2703622853943224
30,Raw,,,8,0.01,10,1,0.2841879443014939,0.18259469006947837,0.2738591234301878
31,Raw,,,8,0.01,15,1,0.291833309588646,0.18747864276169587,0.27827966315122654
32,Raw,,,8,0.01,30,1,0.28264467075989347,0.17669665795987616,0.2679782239723635
33,Raw,,,8,0.02,10,1,0.2874823581604625,0.1867240034653767,0.2778450354318765
34,Raw,,,8,0.02,15,1,0.30176420119526953,0.1941052213300241,0.28801548710711516
35,Raw,,,8,0.02,30,1,0.2910756204377067,0.18394618657819584,0.2780690799505569
36,Raw,,,9,0.005,10,1,0.28546338886434197,0.18155682410203527,0.2712542045262033
37,Raw,,,9,0.005,15,1,0.2787230790544083,0.17577203827409432,0.26696392071687314
38,Raw,,,9,0.005,30,1,0.2702865705283806,0.16769589444068994,0.2558310466865928
39,Raw,,,9,0.01,10,1,0.28993642584763135,0.18801035927837453,0.2788594694247776
40,Raw,,,9,0.01,15,1,0.29667750334265863,0.19197877585570042,0.2849211974316538
41,Raw,,,9,0.01,30,1,0.27159991154900354,0.16979555369157642,0.2598696411607778
42,Raw,,,9,0.02,10,1,0.28120548254648253,0.1770950441112744,0.26695059403492455
43,Raw,,,9,0.02,15,1,0.2945567673511182,0.18698119746864414,0.27921869304536057
