"person";"skill";"category"
"12";"Windows NT/2000/XP";"Betriebssystem"
"12";"MAC OS X";"Betriebssystem"
"12";"Windows 7";"Betriebssystem"
"12";"Windows 8";"Betriebssystem"
"12";"iOS";"Betriebssystem"
"12";"Android";"Betriebssystem"
"12";"PostgreSQL";"Datenbank"
"12";"MySQL";"Datenbank"
"12";"LDAP";"Datenbank"
"12";"Microsoft Access";"Datenbank"
"12";"Java";"Programmiersprachen / Scriptsprachen"
"12";"C#";"Programmiersprachen / Scriptsprachen"
"12";"Cobol";"Programmiersprachen / Scriptsprachen"
"12";"Assembler";"Programmiersprachen / Scriptsprachen"
"12";"Entwurfsmuster";"Entwicklung"
"12";"Java EE";"Java Frameworks"
"12";"JUnit";"Java Frameworks"
"12";"Hibernate";"Java Frameworks"
"12";"JDBC";"Java Frameworks"
"12";"NetBeans";"Umgebungen"
"12";"IntelliJ(Idea)";"Umgebungen"
"12";"Node.js";"JavaScript Frameworks"
"12";"Angular Generalist";"JavaScript Frameworks"
"12";"REST";"Standards"
"12";"SSL";"Standards"
"12";"TCP/IP";"Standards"
"12";"Tomcat";"Applikationsserver"
"12";"Apache";"Applikationsserver"
"12";"Teamviewer";"Dienste"
"12";"UML";"Technik/Tools"
"12";"PowerShell";"Technik/Tools"
"12";"HTML";"Webentwicklung"
"12";"HTML5";"Webentwicklung"
"12";"JSON";"Webentwicklung"
"12";"Team Foundation Server (TF Server)";"CI/CD, Build- und Versionskontrollsysteme"
"12";"Jenkins";"CI/CD, Build- und Versionskontrollsysteme"
"12";"GIT";"CI/CD, Build- und Versionskontrollsysteme"
"12";"Microsoft Visio";"Produkterfahrung"
"12";"OpenOffice / LibreOffice";"Produkterfahrung"
"12";"Adobe Flash";"Grafik/Design"
"12";"GIMP";"Grafik/Design"
"12";"Unit Tests (Komponententests)";"Methoden und Praktiken"
"12";"Test Driven Development (TDD)";"Methoden und Praktiken"
"12";"Behaviour Driven Development (BDD)";"Methoden und Praktiken"
"12";"Design Pattern";"Software Craftmanship"
"12";"Dependency Injection";"Methoden und Praktiken"
"12";"Objektrelationale Abbildung (ORM)";"Methoden und Praktiken"
"12";"Continuous Integration (CI)";"Methoden und Praktiken"
"12";"Statische Codeanalyse";"Methoden und Praktiken"
"12";"V-Modell";"Projektmanagement / Vorgehensmodelle"
"12";"V-Modell XT";"Projektmanagement / Vorgehensmodelle"
"12";"Wasserfallmodel";"Projektmanagement / Vorgehensmodelle"
"12";"KANBAN";"Projektmanagement / Vorgehensmodelle"
"12";"Englisch";"Sprachen"
"12";"Spanisch";"Sprachen"
"12";"Französisch";"Sprachen"
"12";"OAuth";"Dienste"
"12";"Implementierung";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"12";"Qualitätsmanagement";"Einsatzfelder / Erfahrungen / Schwerpunkte"
"12";"Clean Code";"Software Craftmanship"
"12";"Log4J";"Java Frameworks"
"12";"Spring";"Java Frameworks"
"12";"Spring Boot";"Java Frameworks"
"12";"Agile Methoden";"Methoden und Praktiken"
"12";"Microsoft Office";"Produkterfahrung"
"12";"Microsoft Teams";"Produkterfahrung"
"12";"Gitlab";"CI/CD, Build- und Versionskontrollsysteme"
"12";"GIT";"CI/CD, Build- und Versionskontrollsysteme"
"12";"TeamCity";"CI/CD, Build- und Versionskontrollsysteme"
"12";"Docker";"Technik/Tools"
"12";"Mockito";"Sonstige"
"12";"Windows 10";"Betriebssystem"
"12";"JavaScript";"Programmiersprachen / Scriptsprachen"
"12";"SQL";"Datenbank"
"12";"SCRUM";"Projektmanagement / Vorgehensmodelle"
"12";"JIRA";"Issue Management"
"12";"Maven";"CI/CD, Build- und Versionskontrollsysteme"
"12";"Visual Studio";"Umgebungen"
"13";"Windows NT/2000/XP";"Betriebssystem"
"13";"Windows 7";"Betriebssystem"
"13";"Windows 8";"Betriebssystem"
"13";"iOS";"Betriebssystem"
"13";"Android";"Betriebssystem"
"13";"Microsoft SQL Server";"Datenbank"
"13";"PostgreSQL";"Datenbank"
"13";"Java";"Programmiersprachen / Scriptsprachen"
"13";"C#";"Programmiersprachen / Scriptsprachen"
"13";"Python";"Programmiersprachen / Scriptsprachen"
"13";"Ruby";"Programmiersprachen / Scriptsprachen"
