,data_representations,K1,B,factors,regularization,iterations,precision_at_k,map_at_k
0,Raw,,,3,0.005,10,0.5046284580453044,0.40124707988797315
1,Raw,,,3,0.005,15,0.5061653811739386,0.40301870907105464
2,Raw,,,3,0.005,30,0.507346650773269,0.4041179809386669
3,Raw,,,3,0.01,10,0.5046284580453044,0.40124707988797315
4,Raw,,,3,0.01,15,0.5061653811739386,0.40301870907105464
5,Raw,,,3,0.01,30,0.507346650773269,0.4041179809386669
6,Raw,,,3,0.02,10,0.5046284580453044,0.40124707988797315
7,Raw,,,3,0.02,15,0.5061653811739386,0.40301870907105464
8,Raw,,,3,0.02,30,0.507346650773269,0.40410020316088924
9,Raw,,,6,0.005,10,0.5518013343145641,0.4472322964946316
10,Raw,,,6,0.005,15,0.5522732108354487,0.4477810680648444
11,Raw,,,6,0.005,30,0.5520377330177568,0.4474815426978152
12,Raw,,,6,0.01,10,0.5516841010203086,0.4471740524144859
13,Raw,,,6,0.01,15,0.5523904441297043,0.4479219132378863
14,Raw,,,6,0.01,30,0.5520377330177568,0.4474815426978152
15,Raw,,,6,0.02,10,0.551802510847842,0.447215511774702
16,Raw,,,6,0.02,15,0.552508647439397,0.4480912687408426
17,Raw,,,6,0.02,30,0.5520377330177568,0.4473748997982311
18,Raw,,,7,0.005,10,0.5608620524817075,0.4552092546989278
19,Raw,,,7,0.005,15,0.5612076908299519,0.45523271584723624
20,Raw,,,7,0.005,30,0.5634385815735279,0.45672580389466083
21,Raw,,,7,0.01,10,0.5609790056733335,0.4554516814349475
22,Raw,,,7,0.01,15,0.5610901774330668,0.4551748993408026
23,Raw,,,7,0.01,30,0.5632021749541425,0.4566920261168832
24,Raw,,,7,0.02,10,0.560508409342563,0.4550046822069425
25,Raw,,,7,0.02,15,0.5613256140370151,0.4546571695041194
26,Raw,,,7,0.02,30,0.5635567848832206,0.4570311314922272
27,Raw,,,8,0.005,10,0.5711949050122167,0.4647202767922839
28,Raw,,,8,0.005,15,0.56860508934343,0.46386901583131995
29,Raw,,,8,0.005,30,0.5682538772923035,0.4632396007398164
30,Raw,,,8,0.01,10,0.5709584983928313,0.46471221850448796
31,Raw,,,8,0.01,15,0.5687232926531227,0.46394857867285
32,Raw,,,8,0.01,30,0.5682538772923035,0.4632182674064831
33,Raw,,,8,0.02,10,0.5709582182902018,0.4645914948357855
34,Raw,,,8,0.02,15,0.5684868860337373,0.4638410655863436
35,Raw,,,8,0.02,30,0.5681371911779511,0.4631274125512772
36,Raw,,,9,0.005,10,0.5700449943130561,0.46349851117658736
37,Raw,,,9,0.005,15,0.5713322982454658,0.46287882602525243
38,Raw,,,9,0.005,30,0.5700344937226961,0.46254119248749764
39,Raw,,,9,0.01,10,0.5701634777253783,0.4635199018543285
40,Raw,,,9,0.01,15,0.571332845425369,0.462858838298418
41,Raw,,,9,0.01,30,0.5700344937226961,0.46254106133995665
