,data_representations,K1,B,factors,regularization,iterations,precision_at_k,map_at_k
0,Raw,,,3,0.005,10,0.4751724938918217,0.36948069885029045
1,Raw,,,3,0.005,15,0.4670706210874999,0.35936868443401837
2,Raw,,,3,0.005,30,0.42628613995796727,0.32198585043518047
3,Raw,,,3,0.01,10,0.47564166030988675,0.3697376702317635
4,Raw,,,3,0.01,15,0.4680243063410253,0.3597160273233023
5,Raw,,,3,0.01,30,0.42453314806305614,0.320109319216015
6,Raw,,,3,0.02,10,0.4736295197010076,0.36949331811594804
7,Raw,,,3,0.02,15,0.4676716827657284,0.3612839261630162
8,Raw,,,3,0.02,30,0.4253510907430723,0.32316209036361665
9,Raw,,,6,0.005,10,0.4805965282315447,0.3791969084789432
10,Raw,,,6,0.005,15,0.4910240601470929,0.38825264296158535
11,Raw,,,6,0.005,30,0.4616441455072895,0.3559208863796115
12,Raw,,,6,0.01,10,0.4784761859195282,0.3765619740316092
13,Raw,,,6,0.01,15,0.4907752958831087,0.3874638653450457
14,Raw,,,6,0.01,30,0.4603414401477539,0.3561355767672828
15,Raw,,,6,0.02,10,0.47109093810700176,0.3689373950525173
16,Raw,,,6,0.02,15,0.48684027509255284,0.3819539869055835
17,Raw,,,6,0.02,30,0.46281530568075074,0.3575026054544085
18,Raw,,,7,0.005,10,0.4798555236267924,0.37592581839196637
19,Raw,,,7,0.005,15,0.4857801392649434,0.37997381332463986
20,Raw,,,7,0.005,30,0.46002905987398696,0.3564545523150763
21,Raw,,,7,0.01,10,0.4777472959289478,0.3742791132132169
22,Raw,,,7,0.01,15,0.4829673730025119,0.37759909597779895
23,Raw,,,7,0.01,30,0.46061790395369717,0.35637964103895514
24,Raw,,,7,0.02,10,0.47433995504516774,0.371116666035185
25,Raw,,,7,0.02,15,0.47968970966773117,0.3734277665096216
26,Raw,,,7,0.02,30,0.4611910670528001,0.35872787453758875
27,Raw,,,8,0.005,10,0.477847083285023,0.3710526540715081
28,Raw,,,8,0.005,15,0.4800675342060102,0.37626132802269857
29,Raw,,,8,0.005,30,0.4655163135919847,0.35862561186324476
30,Raw,,,8,0.01,10,0.4753926785170394,0.36893281510433873
31,Raw,,,8,0.01,15,0.476071598185274,0.371977503035408
32,Raw,,,8,0.01,30,0.46492002505730745,0.3582410386210254
33,Raw,,,8,0.02,10,0.4703537860585686,0.36508014239393594
34,Raw,,,8,0.02,15,0.47420900127438037,0.368014130208263
35,Raw,,,8,0.02,30,0.4613876762547651,0.3542922786452789
36,Raw,,,9,0.005,10,0.4830987928369105,0.37965104209662626
37,Raw,,,9,0.005,15,0.49624867113736953,0.39227236881004235
38,Raw,,,9,0.005,30,0.48348031211142145,0.3753854018626528
39,Raw,,,9,0.01,10,0.48191637824153516,0.3775809153186804
40,Raw,,,9,0.01,15,0.49473120124538167,0.38928030245515816
41,Raw,,,9,0.01,30,0.4797296827204489,0.3724925865992173
42,Raw,,,9,0.02,10,0.47335304775311576,0.37034027238206824
43,Raw,,,9,0.02,15,0.48626604505684795,0.38136624745847836
44,Raw,,,9,0.02,30,0.47348200769286314,0.3676216921408424
45,Raw,,,10,0.005,10,0.47983607143999335,0.37549437133614116
46,Raw,,,10,0.005,15,0.4889482387974852,0.38355235082166156
47,Raw,,,10,0.005,30,0.4782171246762493,0.37254660423344754
48,Raw,,,10,0.01,10,0.47573526366759394,0.3714468270388627
49,Raw,,,10,0.01,15,0.48427210969375567,0.3796683849574138
50,Raw,,,10,0.01,30,0.4739617331157134,0.3692622421720919
51,Raw,,,10,0.02,10,0.47128866246117973,0.3676769035802812
52,Raw,,,10,0.02,15,0.4819269549198246,0.3768317271278615
53,Raw,,,10,0.02,30,0.4706588458387516,0.36691452284998005
54,Raw,,,15,0.005,10,0.4834188318899315,0.3792964860954898
55,Raw,,,15,0.005,15,0.4994380805527907,0.39314403427519473
56,Raw,,,15,0.005,30,0.48627201299705425,0.38074575735431393
57,Raw,,,15,0.01,10,0.4790893031103491,0.37513048044434844
58,Raw,,,15,0.01,15,0.49367107156393486,0.38801976659055154
59,Raw,,,15,0.01,30,0.4832279406414795,0.37583078381691964
60,Raw,,,15,0.02,10,0.4724081847247218,0.36903397076477507
61,Raw,,,15,0.02,15,0.4851800983384159,0.3812064256691813
62,Raw,,,15,0.02,30,0.47616713287781537,0.36971602533310965
63,Normalized,,,3,0.005,10,0.4747021008533884,0.3684313666908041
