,data_representations,K1,B,factors,regularization,iterations,precision_at_k,map_at_k
0,Raw,,,3,0.005,10,0.2966446367721617,0.19943403513520078
1,Raw,,,3,0.005,15,0.31707473570413197,0.21448953281710875
2,Raw,,,3,0.005,30,0.3103588023273288,0.20915527353657218
3,Raw,,,3,0.01,10,0.3011230248307751,0.20538271037488015
4,Raw,,,3,0.01,15,0.31885115679940407,0.2135273612936784
5,Raw,,,3,0.01,30,0.31165306933407233,0.21289878873264545
6,Raw,,,3,0.02,10,0.3019819365136486,0.20749542445329813
7,Raw,,,3,0.02,15,0.3221172173880314,0.21717067042688667
8,Raw,,,3,0.02,30,0.3201140074856189,0.22012794212317477
9,Raw,,,6,0.005,10,0.30053711653829135,0.19689701730076994
10,Raw,,,6,0.005,15,0.3024938330446671,0.199159667432997
11,Raw,,,6,0.005,30,0.28891577053023015,0.1864605268926433
12,Raw,,,6,0.01,10,0.2992879843570947,0.19321300282180573
13,Raw,,,6,0.01,15,0.29435996349956767,0.19255924072160496
14,Raw,,,6,0.01,30,0.30148996527940336,0.19418078148932932
15,Raw,,,6,0.02,10,0.3011468962767836,0.1964420427064852
16,Raw,,,6,0.02,15,0.30497488627370944,0.19879435304476561
17,Raw,,,6,0.02,30,0.30226841426566897,0.19851934652819545
18,Raw,,,7,0.005,10,0.2895313231047133,0.18310108688497662
19,Raw,,,7,0.005,15,0.29441051100476645,0.18847227286315774
20,Raw,,,7,0.005,30,0.293003545462268,0.19116558625166444
21,Raw,,,7,0.01,10,0.29893960892461713,0.19596700231094197
22,Raw,,,7,0.01,15,0.2925179837572326,0.18972225150525207
23,Raw,,,7,0.01,30,0.2999495292823141,0.19216932321636535
24,Raw,,,7,0.02,10,0.2937732412903526,0.1914888814199154
25,Raw,,,7,0.02,15,0.3046259220217787,0.1980692855342375
26,Raw,,,7,0.02,30,0.29795219966193176,0.19091497276356878
27,Raw,,,8,0.005,10,0.2803105398965105,0.17881952747949775
28,Raw,,,8,0.005,15,0.29542238420095535,0.19017457921507713
29,Raw,,,8,0.005,30,0.28325491953348486,0.17850090865797036
30,Raw,,,8,0.01,10,0.2841879443014939,0.18259469006947837
31,Raw,,,8,0.01,15,0.291833309588646,0.18747864276169587
32,Raw,,,8,0.01,30,0.28264467075989347,0.17669665795987616
33,Raw,,,8,0.02,10,0.2874823581604625,0.1867240034653767
34,Raw,,,8,0.02,15,0.30176420119526953,0.1941052213300241
35,Raw,,,8,0.02,30,0.2910756204377067,0.18394618657819584
36,Raw,,,9,0.005,10,0.28546338886434197,0.18155682410203527
37,Raw,,,9,0.005,15,0.2787230790544083,0.17577203827409432
38,Raw,,,9,0.005,30,0.2702865705283806,0.16769589444068994
39,Raw,,,9,0.01,10,0.28993642584763135,0.18801035927837453
40,Raw,,,9,0.01,15,0.29667750334265863,0.19197877585570042
41,Raw,,,9,0.01,30,0.27159991154900354,0.16979555369157642
42,Raw,,,9,0.02,10,0.28120548254648253,0.1770950441112744
43,Raw,,,9,0.02,15,0.2945567673511182,0.18698119746864414
44,Raw,,,9,0.02,30,0.27614725147391084,0.17426627067490608
45,Raw,,,10,0.005,10,0.2840364955371334,0.17720628140086953
46,Raw,,,10,0.005,15,0.27472005306025216,0.16960875099604636
47,Raw,,,10,0.005,30,0.26195210539684466,0.16409004776272412
48,Raw,,,10,0.01,10,0.2687584170827314,0.16684158663306795
49,Raw,,,10,0.01,15,0.28070375307904705,0.17648306745799097
50,Raw,,,10,0.01,30,0.26676861632742854,0.1652732181943084
51,Raw,,,10,0.02,10,0.27642503568576204,0.17237803434520993
52,Raw,,,10,0.02,15,0.2700324994091484,0.16514000844165275
53,Raw,,,10,0.02,30,0.2802882194963121,0.17721110512346994
54,Raw,,,15,0.005,10,0.26885127922517493,0.1665517042467946
55,Raw,,,15,0.005,15,0.28142397903413147,0.17272205060183493
56,Raw,,,15,0.005,30,0.2527089670121115,0.150389188305772
57,Raw,,,15,0.01,10,0.27309052248606935,0.16567780756313982
58,Raw,,,15,0.01,15,0.2799178065404991,0.17118977462375534
59,Raw,,,15,0.01,30,0.2688957106616193,0.16433336785981525
60,Raw,,,15,0.02,10,0.27237649268397546,0.1679137923823683
61,Raw,,,15,0.02,15,0.27263140168800026,0.16648027852065472
62,Raw,,,15,0.02,30,0.27829026728154294,0.17261827575611827
63,Normalized,,,3,0.005,10,0.32739250444087015,0.21943803505724135
64,Normalized,,,3,0.005,15,0.33375850845702953,0.22688950223146268
65,Normalized,,,3,0.005,30,0.32448046047360896,0.21882629592111033
66,Normalized,,,3,0.01,10,0.32879001388175944,0.2201284681940839
