factors,alpha,regularization,iterations,p_at_k_mean,map_at_k_mean,ndcg_at_k_mean
5,0.5,0.005,20,0.47518888274544635,0.37263572607260737,0.45490718007916225
5,0.5,0.01,20,0.4748828482243971,0.3721749174917493,0.45469814049147395
5,0.5,0.02,20,0.4754094310201417,0.37310066006600673,0.45575374511942685
5,1.0,0.005,20,0.46578874942637155,0.36183745874587464,0.4436202528089063
5,1.0,0.01,20,0.4648360229354688,0.36043811881188126,0.4426277704291218
5,1.0,0.02,20,0.4668433909058984,0.36231930693069314,0.4443277722441923
5,1.5,0.005,20,0.4615324260754388,0.3536592409240925,0.4359723782295592
5,1.5,0.01,20,0.4632235885478285,0.3550618811881189,0.4375867350023085
5,1.5,0.02,20,0.46300971972070915,0.3548094059405941,0.43721760906630386
10,0.5,0.005,20,0.4124304575612752,0.3016893564356436,0.3885621015306464
10,0.5,0.01,20,0.4119989781794592,0.3015045379537954,0.388184314461901
10,0.5,0.02,20,0.41199561877716406,0.3013708745874588,0.38774492920964876
10,1.0,0.005,20,0.41808136860306555,0.30988613861386144,0.4020212519114293
10,1.0,0.01,20,0.41818525987605243,0.3096501650165017,0.4017453922914917
10,1.0,0.02,20,0.4196696940082094,0.3104995874587459,0.40258480722210577
10,1.5,0.005,20,0.40147983498391027,0.2950210396039604,0.3878835635129923
10,1.5,0.01,20,0.4014809285466658,0.2949665841584159,0.38753361683734966
10,1.5,0.02,20,0.402528258055172,0.2957817656765677,0.3886432780976076
20,0.5,0.005,20,0.3470850873911258,0.24296094609460944,0.3274811153706968
20,0.5,0.01,20,0.34730076101847407,0.24317450495049503,0.32866464574494064
20,0.5,0.02,20,0.3490974087229312,0.2437267601760176,0.32933877782418675
20,1.0,0.005,20,0.3315783253500441,0.22742794279427944,0.31382228708653265
20,1.0,0.01,20,0.3309534765231474,0.22634763476347636,0.3134538882677954
20,1.0,0.02,20,0.33218757474318705,0.22697524752475248,0.3144314563555628
20,1.5,0.005,20,0.33212644767749194,0.22648019801980193,0.3153691543238693
20,1.5,0.01,20,0.33106618095613033,0.22472497249724968,0.31347993126458384
20,1.5,0.02,20,0.33053384079143133,0.22509735973597358,0.31365467227441224
50,0.5,0.005,20,0.23392952463136252,0.14157054455445542,0.21421600159023804
50,0.5,0.01,20,0.23437428419430176,0.14372442244224418,0.21613775573327415
50,0.5,0.02,20,0.2383855286057463,0.14507590759075903,0.21834262935229545
50,1.0,0.005,20,0.21937003532348262,0.13346465896589654,0.20295948380889162
50,1.0,0.01,20,0.22138387190033995,0.13363902640264022,0.20374245152693632
50,1.0,0.02,20,0.22086598419354836,0.13581050605060502,0.20515396780241363
50,1.5,0.005,20,0.2068851666898873,0.12347249724972492,0.19043067646169623
50,1.5,0.01,20,0.20677018236128816,0.12329592959295925,0.1903898181073368
50,1.5,0.02,20,0.2102689534666277,0.12506600660066003,0.19338585349725054
70,0.5,0.005,20,0.18805453611517706,0.10438118811881185,0.17116787825901797
70,0.5,0.01,20,0.18370998558296342,0.10266006600660063,0.1681390157620213
70,0.5,0.02,20,0.1893388819976631,0.10436138613861382,0.17185951561990476
